work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,predicted_salary_usd
2020,Mid-Level,Full-Time,Data Scientist,79833,DE,On-Site,DE,Large,62803
2020,Senior,Full-Time,Machine Learning Scientist,260000,JP,On-Site,JP,Small,184658
2020,Senior,Full-Time,Big Data Engineer,109024,GB,Hybrid,GB,Medium,80281
2020,Mid-Level,Full-Time,Product Data Analyst,20000,HN,On-Site,HN,Small,42130
2020,Senior,Full-Time,Machine Learning Engineer,150000,US,Hybrid,US,Large,180995
2020,Entry-Level,Full-Time,Data Analyst,72000,US,Fully Remote,US,Large,80433
2020,Senior,Full-Time,Lead Data Scientist,190000,US,Fully Remote,US,Small,191226
2020,Mid-Level,Full-Time,Data Scientist,35735,HU,Hybrid,HU,Large,38005
2020,Mid-Level,Full-Time,Business Data Analyst,135000,US,Fully Remote,US,Large,111948
2020,Senior,Full-Time,Lead Data Engineer,125000,NZ,Hybrid,NZ,Small,101839
2020,Entry-Level,Full-Time,Data Scientist,51321,FR,On-Site,FR,Small,38947
2020,Mid-Level,Full-Time,Data Scientist,40481,IN,On-Site,IN,Large,25694
2020,Entry-Level,Full-Time,Data Scientist,39916,FR,On-Site,FR,Medium,44996
2020,Mid-Level,Full-Time,Lead Data Analyst,87000,US,Fully Remote,US,Large,151106
2020,Mid-Level,Full-Time,Data Analyst,85000,US,Fully Remote,US,Large,93462
2020,Mid-Level,Full-Time,Data Analyst,8000,PK,Hybrid,PK,Large,16496
2020,Entry-Level,Full-Time,Data Engineer,41689,JP,Fully Remote,JP,Small,48920
2020,Senior,Full-Time,Big Data Engineer,114047,PL,Fully Remote,GB,Small,51008
2020,Entry-Level,Full-Time,Data Science Consultant,5707,IN,Hybrid,IN,Medium,8908
2020,Mid-Level,Full-Time,Lead Data Engineer,56000,PT,Fully Remote,US,Medium,53525
2020,Mid-Level,Full-Time,Machine Learning Engineer,43331,CN,On-Site,CN,Medium,71968
2020,Mid-Level,Full-Time,Product Data Analyst,6072,IN,Fully Remote,IN,Large,5171
2020,Senior,Full-Time,Data Engineer,47899,GR,Hybrid,GR,Large,68653
2020,Mid-Level,Full-Time,BI Data Analyst,98000,US,On-Site,US,Medium,108251
2020,Mid-Level,Full-Time,Lead Data Scientist,115000,AE,On-Site,AE,Large,102125
2020,Executive,Full-Time,Director of Data Science,325000,US,Fully Remote,US,Large,297442
2020,Entry-Level,Full-Time,Research Scientist,42000,NL,Hybrid,NL,Large,61949
2020,Senior,Full-Time,Data Engineer,33511,MX,On-Site,MX,Small,66300
2020,Entry-Level,Contract,Business Data Analyst,100000,US,Fully Remote,US,Large,101677
2020,Senior,Full-Time,Machine Learning Manager,117104,CA,Hybrid,CA,Large,111805
2020,Mid-Level,Full-Time,Data Engineering Manager,59303,DE,Fully Remote,DE,Small,64112
2020,Entry-Level,Full-Time,Big Data Engineer,70000,US,Fully Remote,US,Large,90279
2020,Senior,Full-Time,Data Scientist,68428,GR,Fully Remote,US,Large,86116
2020,Mid-Level,Full-Time,Research Scientist,450000,US,On-Site,US,Medium,177756
2020,Mid-Level,Full-Time,Data Analyst,46759,FR,Hybrid,FR,Large,40138
2020,Mid-Level,Full-Time,Data Engineer,74130,AT,Hybrid,AT,Large,81743
2020,Mid-Level,Full-Time,Data Science Consultant,103000,US,Fully Remote,US,Large,109743
2020,Entry-Level,Full-Time,Machine Learning Engineer,250000,US,Hybrid,US,Large,148869
2020,Entry-Level,Full-Time,Data Analyst,10000,NG,Fully Remote,NG,Small,24018
